date,trial,lobster_id,Initial,Killed,temp
7/26/18,1,N15,10,1,21
7/26/18,1,L4,30,4,21
7/26/18,1,N14,60,16,21
7/26/18,1,L3,60,6,21
7/26/18,1,N18,20,6,21
7/26/18,1,N19,5,4,21
7/31/18,2,N15,60,8,21
7/31/18,2,L4,60,11,21
7/31/18,2,N14,30,4,21
7/31/18,2,L3,5,5,21
10/11/18,2,N18,5,5,21
7/31/18,2,N19,10,6,21
8/5/18,3,N15,20,4,21
8/5/18,3,L4,5,5,21
8/5/18,3,N14,10,10,21
8/5/18,3,L3,5,3,21
10/16/18,3,N18,30,26,21
8/5/18,3,N19,20,10,21
8/10/18,4,N15,5,4,21
8/10/18,4,L4,10,6,21
8/10/18,4,N14,20,13,21
8/10/18,4,L3,20,4,21
10/21/18,4,N18,10,10,21
8/10/18,4,N19,30,7,21
8/15/18,5,N15,30,4,21
8/15/18,5,L4,20,11,21
8/15/18,5,N14,30,19,21
8/15/18,5,L3,10,7,21
8/15/18,5,N18,60,13,21
8/15/18,5,N19,60,10,21
8/20/18,6,N15,20,6,21
8/20/18,6,L4,5,5,21
8/20/18,6,N14,60,18,21
8/20/18,6,L3,30,9,21
8/20/18,6,N18,30,20,21
8/20/18,6,N19,20,9,21
8/25/18,7,N15,10,4,21
8/25/18,7,L4,10,5,21
8/25/18,7,N14,30,11,21
8/25/18,7,L3,10,7,21
8/25/18,7,N18,60,30,21
8/25/18,7,N19,30,12,21
8/30/18,8,N15,30,4,21
8/30/18,8,L4,30,7,21
10/11/18,8,N14,20,20,21
8/30/18,8,L3,20,9,21
8/30/18,8,N18,20,18,21
8/30/18,8,N19,60,11,21
9/6/18,9,N15,5,5,21
9/6/18,9,L4,60,7,21
10/16/18,9,N14,5,5,21
9/6/18,9,L3,5,5,21
9/6/18,9,N18,5,5,21
9/6/18,9,N19,10,9,21
9/11/18,10,N15,60,13,21
9/11/18,10,L4,20,5,21
9/11/18,10,N14,10,2,21
9/11/18,10,L3,60,4,21
9/11/18,10,N18,10,10,21
9/11/18,10,N19,5,5,21
9/16/18,11,N15,5,4,21
9/16/18,11,L4,30,6,21
9/16/18,11,N14,20,16,21
10/11/18,11,L3,60,17,21
9/16/18,11,N18,10,10,21
9/16/18,11,N19,10,8,21
9/21/18,12,N15,30,11,21
9/21/18,12,L4,20,10,21
9/21/18,12,N14,30,21,21
10/16/18,12,L3,30,14,21
9/21/18,12,N18,60,27,21
9/21/18,12,N19,60,22,21
9/26/18,13,N15,10,8,21
9/26/18,13,L4,10,7,21
9/26/18,13,N14,60,30,21
10/21/18,13,L3,10,10,21
9/26/18,13,N18,20,19,21
9/26/18,13,N19,5,5,21
10/2/18,14,N15,60,15,21
10/2/18,14,L4,5,4,21
10/2/18,14,N14,5,5,21
10/25/18,14,L3,20,14,21
10/2/18,14,N18,30,26,21
10/2/18,14,N19,30,13,21
10/6/18,15,N15,20,6,21
10/6/18,15,L4,60,15,21
10/6/18,15,N14,10,10,21
10/6/18,15,L3,5,4,21
10/6/18,15,N18,5,5,21
10/6/18,15,N19,20,14,21
9/8/18,1,IV14,60,1,11
9/8/18,1,MM02,10,0,11
9/8/18,1,IV10,5,2,11
9/8/18,1,IV11,10,0,11
9/8/18,1,IV12,60,1,11
9/8/18,1,IV13,10,1,11
9/13/18,2,IV14,30,1,11
9/13/18,2,MM02,60,0,11
9/13/18,2,IV10,10,2,11
9/13/18,2,IV11,60,0,11
9/13/18,2,IV12,5,0,11
9/13/18,2,IV13,5,0,11
9/18/18,3,IV14,10,2,11
9/18/18,3,MM02,5,1,11
9/18/18,3,IV10,20,4,11
9/18/18,3,IV11,30,0,11
9/18/18,3,IV12,20,1,11
9/18/18,3,IV13,60,0,11
9/23/18,4,IV14,20,0,11
9/23/18,4,MM02,20,0,11
9/23/18,4,IV10,30,6,11
9/23/18,4,IV11,20,0,11
9/23/18,4,IV12,30,3,11
9/23/18,4,IV13,30,0,11
9/29/18,5,IV14,5,1,11
9/29/18,5,MM02,30,0,11
9/29/18,5,IV10,60,8,11
9/29/18,5,IV11,5,1,11
9/29/18,5,IV12,10,0,11
9/29/18,5,IV13,20,1,11
10/4/18,6,IV14,20,1,11
10/4/18,6,MM02,60,0,11
10/4/18,6,IV10,60,10,11
10/4/18,6,IV11,20,0,11
10/4/18,6,IV12,5,3,11
10/4/18,6,IV13,60,1,11
10/9/18,7,IV14,10,0,11
10/9/18,7,MM02,10,0,11
10/9/18,7,IV10,10,3,11
10/9/18,7,IV11,5,0,11
10/9/18,7,IV12,20,2,11
10/9/18,7,IV13,30,0,11
10/14/18,8,IV14,5,1,11
10/14/18,8,MM02,20,0,11
10/14/18,8,IV10,30,3,11
10/14/18,8,IV11,30,2,11
10/14/18,8,IV12,60,1,11
10/14/18,8,IV13,20,1,11
10/19/18,9,IV14,60,0,11
10/19/18,9,MM02,30,2,11
10/19/18,9,IV10,5,2,11
10/19/18,9,IV11,10,0,11
10/19/18,9,IV12,10,0,11
10/19/18,9,IV13,10,0,11
10/24/18,10,IV14,30,0,11
10/24/18,10,MM02,5,0,11
10/24/18,10,IV10,20,4,11
10/24/18,10,IV11,60,0,11
10/24/18,10,IV12,30,0,11
10/24/18,10,IV13,5,0,11
10/29/18,11,IV14,20,0,11
10/29/18,11,MM02,10,5,11
10/29/18,11,IV10,60,10,11
10/29/18,11,IV11,5,1,11
10/29/18,11,IV12,60,0,11
10/29/18,11,IV13,30,1,11
11/3/18,12,IV14,30,1,11
11/3/18,12,MM02,60,4,11
11/3/18,12,IV10,10,0,11
11/3/18,12,IV11,30,0,11
11/3/18,12,IV12,30,0,11
11/3/18,12,IV13,5,0,11
11/8/18,13,IV14,5,0,11
11/8/18,13,MM02,20,5,11
11/8/18,13,IV10,5,0,11
11/8/18,13,IV11,10,0,11
11/8/18,13,IV12,20,0,11
11/8/18,13,IV13,10,0,11
11/13/18,14,IV14,60,0,11
11/13/18,14,MM02,30,9,11
11/13/18,14,IV10,20,0,11
11/13/18,14,IV11,20,0,11
11/13/18,14,IV12,10,0,11
11/13/18,14,IV13,20,0,11
11/19/18,15,IV14,10,0,11
11/19/18,15,MM02,5,2,11
11/19/18,15,IV10,30,5,11
11/19/18,15,IV11,60,0,11
11/19/18,15,IV12,5,0,11
11/19/18,15,IV13,60,1,11
3/1/19,1,IV15,10,10,26
3/1/19,1,GP07,60,25,26
3/1/19,1,IV19,10,0,26
3/1/19,1,GP01,20,20,26
3/6/19,2,IV15,10,6,26
3/6/19,2,GP07,5,5,26
3/6/19,2,IV19,30,2,26
3/6/19,2,GP01,60,29,26
3/11/19,3,IV15,20,11,26
3/11/19,3,GP07,20,15,26
3/11/19,3,IV19,5,3,26
3/11/19,3,GP01,10,10,26
3/16/19,4,IV15,60,17,26
3/16/19,4,GP07,10,8,26
3/16/19,4,IV19,60,11,26
3/16/19,4,GP01,5,5,26
3/21/19,5,IV15,5,4,26
3/21/19,5,GP07,30,18,26
3/21/19,5,IV19,20,10,26
3/21/19,5,GP01,30,22,26
3/26/19,6,IV15,30,22,26
3/26/19,6,GP07,20,14,26
3/26/19,6,IV19,20,10,26
3/26/19,6,GP01,10,10,26
3/31/19,7,IV15,30,17,26
3/31/19,7,GP07,10,8,26
3/31/19,7,IV19,30,12,26
3/31/19,7,GP01,30,18,26
4/5/19,8,IV15,60,24,26
4/5/19,8,GP07,30,23,26
4/5/19,8,IV19,10,7,26
4/5/19,8,GP01,20,17,26
4/10/19,9,IV15,20,12,26
4/10/19,9,GP07,5,5,26
4/10/19,9,IV19,60,15,26
4/10/19,9,GP01,5,5,26
4/15/19,10,IV15,5,5,26
4/15/19,10,GP07,60,20,26
4/15/19,10,IV19,5,5,26
4/15/19,10,GP01,60,23,26
4/20/19,11,IV15,30,18,26
4/20/19,11,GP07,10,10,26
4/20/19,11,IV19,5,5,26
4/20/19,11,GP01,20,16,26
4/27/19,12,IV15,20,16,26
4/27/19,12,GP07,20,17,26
4/27/19,12,IV19,10,10,26
4/27/19,12,GP01,60,24,26
5/2/19,13,IV15,60,6,26
5/2/19,13,GP07,30,11,26
5/2/19,13,IV19,30,17,26
5/2/19,13,GP01,10,10,26
5/7/19,14,IV15,10,10,26
5/7/19,14,GP07,5,5,26
5/7/19,14,IV19,60,16,26
5/7/19,14,GP01,30,20,26
5/13/19,15,IV15,5,5,26
5/13/19,15,GP07,60,26,26
5/13/19,15,IV19,20,18,26
5/13/19,15,GP01,5,5,26
3/8/19,1,GP06,20,4,16
3/8/19,1,IV17,30,15,16
3/8/19,1,GP05,60,8,16
3/8/19,1,GP03,10,10,16
3/8/19,1,IV18,5,3,16
3/8/19,1,IV16,10,0,16
3/13/19,2,GP06,30,6,16
3/13/19,2,IV17,10,9,16
3/13/19,2,GP05,5,3,16
3/13/19,2,GP03,20,18,16
3/13/19,2,IV18,60,2,16
3/13/19,2,IV16,30,0,16
3/18/19,3,GP06,10,2,16
3/18/19,3,IV17,20,13,16
3/18/19,3,GP05,30,10,16
3/18/19,3,GP03,5,4,16
3/18/19,3,IV18,10,5,16
3/18/19,3,IV16,60,4,16
5/30/19,4,GP06,60,18,16
5/30/19,4,IV17,5,5,16
5/30/19,4,GP05,10,8,16
5/30/19,4,GP03,60,33,16
5/30/19,4,IV18,20,9,16
5/30/19,4,IV16,5,5,16
4/1/19,5,GP06,5,4,16
4/1/19,5,IV17,60,11,16
4/1/19,5,GP05,20,8,16
4/1/19,5,GP03,30,20,16
4/1/19,5,IV18,30,8,16
4/1/19,5,IV16,20,9,16
4/6/19,6,GP06,10,5,16
4/6/19,6,IV17,20,13,16
4/6/19,6,GP05,5,4,16
4/6/19,6,GP03,10,8,16
4/6/19,6,IV18,30,8,16
4/6/19,6,IV16,10,7,16
4/11/19,7,GP06,30,12,16
4/11/19,7,IV17,30,14,16
4/11/19,7,GP05,10,9,16
4/11/19,7,GP03,20,12,16
4/11/19,7,IV18,60,9,16
4/11/19,7,IV16,5,5,16
4/16/19,8,GP06,60,12,16
4/16/19,8,IV17,10,7,16
4/16/19,8,GP05,20,8,16
6/4/19,8,GP03,30,24,16
4/16/19,8,IV18,5,5,16
4/16/19,8,IV16,60,14,16
4/21/19,9,GP06,20,8,16
4/21/19,9,IV17,60,8,16
4/21/19,9,GP05,30,10,16
6/9/19,9,GP03,60,29,16
4/21/19,9,IV18,20,11,16
4/21/19,9,IV16,30,13,16
4/26/19,10,GP06,5,4,16
4/26/19,10,IV17,5,5,16
4/26/19,10,GP05,60,8,16
6/14/19,10,GP03,5,5,16
4/26/19,10,IV18,60,12,16
4/26/19,10,IV16,20,9,16
5/2/19,11,GP06,30,10,16
6/4/19,11,IV17,30,13,16
5/2/19,11,GP05,60,6,16
7/1/19,11,GP03,5,4,16
5/2/19,11,IV18,10,6,16
5/2/19,11,IV16,10,7,16
5/6/19,12,GP06,5,4,16
5/6/19,12,IV17,20,12,16
5/6/19,12,GP05,5,4,16
6/19/19,12,GP03,30,28,16
5/6/19,12,IV18,5,5,16
5/6/19,12,IV16,5,5,16
5/13/19,13,GP06,10,8,16
5/13/19,13,IV17,10,7,16
5/13/19,13,GP05,10,8,16
6/24/19,13,GP03,60,32,16
5/13/19,13,IV18,20,10,16
5/13/19,13,IV16,30,12,16
5/20/19,14,GP06,20,12,16
5/20/19,14,IV17,5,5,16
5/20/19,14,GP05,20,10,16
5/20/19,14,GP03,30,27,16
5/20/19,14,IV18,30,11,16
5/20/19,14,IV16,60,11,16
5/25/19,15,GP06,60,16,16
5/25/19,15,IV17,60,14,16
5/25/19,15,GP05,30,15,16
5/25/19,15,GP03,10,10,16
5/25/19,15,IV18,60,18,16
5/25/19,15,IV16,20,10,16