lobster_id,time,remove
IV11,12/9/19 9:24,no
IV11,12/9/18 13:45,yes
IV11,12/9/18 13:48,yes
IV11,12/9/18 13:51,yes
IV11,12/9/18 13:54,yes
IV11,12/9/18 13:57,yes
IV11,12/9/18 14:00,yes
IV11,12/9/18 14:03,yes
IV11,12/9/18 14:06,yes
IV11,12/9/18 14:09,yes
IV11,12/9/18 14:12,yes
IV11,12/9/18 14:15,yes
IV11,12/9/18 14:18,yes
IV11,12/9/18 14:21,yes
IV11,12/9/18 14:24,yes
IV11,12/9/18 14:27,yes
IV11,12/9/18 14:30,yes
IV11,12/9/18 14:33,yes
IV11,12/9/18 14:36,yes
IV11,12/9/18 14:39,yes
IV11,12/9/18 14:42,yes
IV11,12/9/18 14:45,yes
IV11,12/9/18 14:48,yes
IV11,12/9/18 14:51,yes
IV11,12/9/18 14:54,yes
IV13,12/8/18 16:18,no
IV13,12/8/18 20:12,yes
IV13,12/9/18 3:15,no
IV13,12/9/18 3:33,no
IV13,12/9/18 13:36,yes
IV13,12/9/18 13:39,yes
IV13,12/9/18 13:42,yes
IV13,12/9/18 13:45,yes
IV13,12/9/18 13:48,yes
IV13,12/9/18 13:51,yes
IV13,12/9/18 13:54,yes
IV13,12/9/18 13:57,yes
IV13,12/9/18 14:00,yes
IV13,12/9/18 14:03,yes
IV13,12/9/18 14:06,yes
IV13,12/9/18 14:09,yes
IV13,12/9/18 14:12,yes
IV13,12/9/18 14:15,yes
IV13,12/9/18 14:18,yes
IV13,12/9/18 14:21,yes
IV13,12/9/18 14:24,yes
IV13,12/9/18 14:27,yes
IV13,12/9/18 14:30,yes
IV13,12/9/18 14:33,yes
IV13,12/9/18 14:36,yes
IV13,12/9/18 14:39,yes
IV14,12/9/18 16:15,yes
IV14,12/9/18 16:24,yes
IV14,12/9/18 19:15,yes
IV14,12/9/18 19:33,yes
IV14,12/9/18 19:51,yes
IV14,12/9/18 20:00,yes
IV14,12/9/18 20:09,yes
IV14,12/9/18 20:27,yes
IV14,12/9/18 20:36,yes
IV14,12/9/18 21:12,yes
IV14,12/9/18 21:30,yes
IV14,12/9/18 21:39,yes
IV14,12/9/18 22:51,yes
IV14,12/9/18 23:09,yes
IV14,12/10/18 1:24,yes
IV14,12/10/18 2:09,yes
IV14,12/10/18 2:18,yes
IV14,12/10/18 8:09,yes
IV14,12/10/18 14:36,yes
IV14,12/10/18 14:39,yes
IV14,12/10/18 14:42,yes
IV14,12/10/18 14:45,yes
IV14,12/10/18 14:48,yes
IV14,12/10/18 14:51,yes
IV14,12/10/18 14:54,yes
IV14,12/10/18 14:57,yes
IV14,12/10/18 15:00,yes
IV14,12/10/18 15:03,yes
IV14,12/10/18 15:06,yes
IV14,12/10/18 15:09,yes
IV14,12/10/18 15:12,yes
IV14,12/10/18 15:15,yes
IV14,12/10/18 15:18,yes
GP05,6/5/19 16:45,no
GP05,6/5/19 17:39,no
GP05,6/5/19 21:51,no
GP05,6/6/19 10:00,yes
GP05,6/6/19 14:48,yes
GP05,6/6/19 14:51,yes
GP05,6/6/19 14:54,yes
GP05,6/6/19 14:57,yes
GP05,6/6/19 15:00,yes
GP05,6/6/19 15:03,yes
GP05,6/6/19 15:06,yes
GP06,6/5/19 16:54,yes
GP06,6/5/19 18:24,no
GP06,6/5/19 19:27,no
GP06,6/5/19 20:48,yes
GP06,6/5/19 23:30,yes
GP06,6/6/19 0:06,yes
GP06,6/6/19 6:33,yes
GP06,6/6/19 7:18,yes
GP06,6/6/19 7:36,yes
GP06,6/6/19 8:12,yes
GP06,6/6/19 8:39,yes
GP06,6/6/19 8:48,yes
GP06,6/6/19 9:06,yes
GP06,6/6/19 9:42,yes
GP06,6/6/19 11:03,yes
GP06,6/6/19 12:06,yes
GP06,6/6/19 14:12,yes
GP06,6/6/19 14:45,yes
GP06,6/6/19 14:48,yes
GP06,6/6/19 14:51,yes
GP06,6/6/19 14:54,yes
GP06,6/6/19 14:57,yes
GP06,6/6/19 15:00,yes
GP06,6/6/19 15:03,yes
GP06,6/6/19 15:06,yes
GP06,6/6/19 15:09,yes
GP06,6/6/19 15:12,yes
GP06,6/6/19 15:15,yes
GP06,6/6/19 15:18,yes
GP06,6/6/19 15:21,yes
IV17,6/12/19 6:23,yes
IV17,6/12/19 10:35,no
IV17,6/12/19 15:50,yes
IV17,6/12/19 15:53,yes
IV17,6/12/19 15:56,yes
IV17,6/12/19 15:59,yes
IV17,6/12/19 16:02,yes
IV17,6/12/19 16:05,yes
IV17,6/12/19 16:08,yes
IV17,6/12/19 16:11,yes
IV17,6/12/19 16:14,yes
IV17,6/12/19 16:17,yes
IV17,6/12/19 16:20,yes
IV17,6/12/19 16:23,yes
L3,12/11/18 16:24,yes
L3,12/11/18 16:42,yes
L3,12/11/18 18:12,yes
L3,12/11/18 18:48,yes
L3,12/11/18 19:15,yes
L3,12/11/18 20:45,yes
L3,12/11/18 21:03,yes
L3,12/11/18 21:12,yes
L3,12/11/18 21:21,yes
L3,12/11/18 21:30,yes
L3,12/11/18 21:39,yes
L3,12/11/18 21:57,yes
L3,12/11/18 22:06,yes
L3,12/11/18 22:15,yes
L3,12/11/18 22:33,yes
L3,12/11/18 22:42,yes
L3,12/11/18 22:51,yes
L3,12/11/18 23:09,yes
L3,12/11/18 23:18,yes
L3,12/11/18 23:27,yes
L3,12/11/18 23:45,yes
L3,12/12/18 2:18,yes
L3,12/12/18 3:48,yes
L3,12/12/18 5:27,yes
L3,12/12/18 7:06,yes
L3,12/12/18 7:51,yes
L3,12/12/18 11:54,yes
L3,12/12/18 13:15,yes
L3,12/12/18 13:42,yes
L3,12/12/18 13:51,yes
L3,12/12/18 14:27,yes
L3,12/12/18 15:21,yes
L3,12/12/18 15:39,yes
L3,12/12/18 15:42,yes
L3,12/12/18 15:45,yes
L3,12/12/18 15:48,yes
L3,12/12/18 15:51,yes
L3,12/12/18 15:54,yes
L4,1/15/19 14:39,yes
L4,1/15/19 16:09,yes
L4,1/15/19 17:39,yes
L4,1/15/19 17:48,yes
L4,1/16/19 7:00,yes
L4,1/16/19 8:48,yes
L4,1/16/19 13:18,yes
N14,12/13/18 18:12,yes
N14,12/13/18 18:21,yes
N14,12/14/18 13:42,yes
N14,12/14/18 13:45,yes
N14,12/14/18 13:48,yes
N14,12/14/18 13:51,yes
N14,12/14/18 13:54,yes
N14,12/14/18 13:57,yes
N14,12/14/18 14:00,yes
N14,12/14/18 14:03,yes
N14,12/14/18 14:06,yes
N14,12/14/18 14:09,yes
N14,12/14/18 14:12,yes
N14,12/14/18 14:15,yes
N14,12/14/18 14:18,yes
N14,12/14/18 14:21,yes
N14,12/14/18 14:24,yes
N14,12/14/18 14:27,yes
N14,12/14/18 14:33,yes
N14,12/14/18 14:36,yes
N14,12/14/18 14:39,yes
N14,12/14/18 14:42,yes
N14,12/14/18 14:45,yes
N14,12/14/18 14:48,yes
N14,12/14/18 14:51,yes